year,life_expectancy,mortality_rate_adult,infant_mortality,under5_mortality,inflation,gdp_growth,gdp_per_capita,interest_rate,trade_openness,unemployment,bond_yield_NG20YT,bond_yield_NG2YT
2005,49.538,871140.0,80.0,145.8,17.8634933661605,6.43851652538348,1889.25175325818,-1.59368048219881,,3.727,24.24156254529953,254.1412062664421
2006,49.876,862920.0,77.7,140.9,8.22522152017047,6.05942803202906,1949.15856804565,-5.62796804844818,,3.749,24.24156254529953,348.1960685483871
2007,50.381,855964.0,75.6,136.5,5.38800796858626,6.59113036068679,2020.83316299454,9.18717123000012,,3.794,24.24156254529953,323.7795918367347
2008,50.748,851847.0,73.8,132.5,11.5810751748252,6.76447277780228,2098.28339220668,6.68490863394994,,3.792,31.04162057869048,218.81836734693877
2009,51.08,850628.0,72.3,129.2,12.5378277304689,8.03692510099023,2204.6072560373,18.1800016718669,,3.763,33.01698416755313,222.16769547325103
2010,51.315,850216.0,71.1,126.3,13.7400521363694,8.00565591628701,2315.46676509663,1.06773606467312,,3.744,24.871666696336533,308.23724489795916
2011,51.49,851074.0,70.0,123.8,10.8261371880017,5.30792420289453,2370.97657091803,5.68557985915527,,3.77,25.354426983316895,356.85510204081635
2012,51.688,851892.0,69.1,121.6,12.2242413020584,4.23006117493223,2403.65387896924,6.22480861375514,,3.761,20.398915700644373,336.1703629032258
2013,51.827,852656.0,68.5,119.9,8.49551838265669,6.67133539306167,2495.34106573749,11.2016222248975,,3.711,15.764047611327399,719.1505102040817
2014,51.94,855821.0,68.1,118.7,8.04741087967907,6.30971865525431,2583.6155695814,11.3562130249595,,3.9,15.577103187167456,956.048155737705
2015,51.939,858537.0,68.0,117.8,9.00943498007706,2.65269329543001,2585.73360671797,13.5961532451283,,4.134,18.505158715777927,888.0693877551021
2016,52.189,858275.0,68.1,117.4,15.6968126387972,-1.61686894906509,2481.81490350326,6.68623362327285,,4.499,18.26225297347359,765.0714285714286
2017,52.397,856946.0,68.3,117.2,16.5022662139641,0.805886619102438,2441.71236404488,5.79056686533675,,4.83,13.40745017822995,1110.45495951417
2018,52.669,855813.0,68.7,117.2,12.0951065173432,1.92275734200614,2431.77857832568,6.05597715767894,,5.069,17.521159980773927,1121.8933673469387
2019,53.009,853891.0,69.1,117.4,11.3964223378116,2.20842927714892,2431.53528472982,-25.7765299378193,,5.206,17.027698403313046,1209.1436721991702
2020,53.072,849380.0,69.5,117.4,13.2460234276597,-6.36889840510109,2228.68631422888,2.14785084959324,,5.714,30.627154127882402,1441.310950413223
2021,53.455,850762.0,69.9,117.6,16.9528457221608,1.10925253938163,2206.66406250067,-1.02433535391556,,5.404,23.195198384542312,1945.3836734693878
2022,54.079,855372.0,70.2,117.5,18.8471877843274,4.31882949523192,2254.29080416892,3.96855873884367,,3.827,27.535317443666003,1372.7602459016393
2023,54.462,857244.0,70.1,116.8,24.659550203114,3.32684556421316,2280.91931156115,2.87664578502372,,3.074,19.056239948272705,1506.8810975609756
2024,54.635,855676.0,69.8,115.6,33.2420966545406,4.06236408888319,2324.64881202751,2.87664578502372,,3.045,17.201520008087158,2169.50306122449
2025,54.635,855676.0,69.8,115.6,33.2420966545406,4.06236408888319,2324.64881202751,2.87664578502372,,3.064,20.81274508307962,3205.4228395061727
2026,54.635,855676.0,69.8,115.6,33.2420966545406,4.06236408888319,2324.64881202751,2.87664578502372,,3.064,21.7211321524854,4574.958762886598
