,annual_return,annual_volatility,sharpe_ratio,max_drawdown
GUINNES,0.1542688235540201,0.5068594678725081,0.20571545006681646,2.4758220985105264
TRANSCO,-0.006687518040413321,0.5198943996811153,-0.10903660065425484,1.1465792171351303
JBERGER,0.19244778773994703,0.613000824871884,0.23237780759873913,1.510743991473603
PZ,-0.1796798073037898,0.3961247284851444,-0.5798168879335774,1.3747228765054231
NNFM,0.164164721502749,0.7756079318405263,0.14719385506003635,2.245584908089283
NCR,0.06480354015967557,0.5437786569081313,0.02722346670214486,1.6824038403586052
IMG,0.030876924958411205,0.4170921977904734,-0.04584855612953779,1.2226789300990046
NESF,-0.031010319439006184,0.16110460413642494,-0.502842981262074,0.5743949486540906
NB,-0.18258534315641564,0.3960133095783799,-0.5873169853913252,1.3780839232674424
NESTLE,-0.008372735016343384,0.19372123048234846,-0.3013233751974449,0.4582872438972675
