,mean_return,std_return,min_return,max_return,skewness,kurtosis
GUINNES,0.1542688235540201,0.5068594678725081,-0.1084516758314408,0.10873318724897507,0.14596080332709901,1.6068896220270492
TRANSCO,-0.006687518040413321,0.5198943996811153,-0.1985187522821276,0.10008352229461334,-0.33601452210971827,3.5076169084260256
JBERGER,0.19244778773994703,0.613000824871884,-0.10536055564417032,0.12260235276104696,0.1417608588723428,0.6943434546451552
PZ,-0.1796798073037898,0.3961247284851444,-0.10536059124157061,0.09700103123333446,-0.14071924467358365,5.149965566484129
NNFM,0.164164721502749,0.7756079318405263,-1.2321431166171952,1.2816029888912241,0.8282099886671613,371.10376010386403
NCR,0.06480354015967557,0.5437786569081313,-0.17008890578701225,0.09884588745664587,-0.16204328808974997,2.747156353919542
IMG,0.030876924958411205,0.4170921977904734,-0.10631573415827296,0.09752114815425901,-0.12190565233276321,5.542438333231496
NESF,-0.031010319439006184,0.16110460413642494,-0.07622736538788426,0.09737416402517637,0.10029348529383733,12.012071039593057
NB,-0.18258534315641564,0.3960133095783799,-0.10552562752148877,0.09700103772477174,-0.14007000189923044,5.157987133948092
NESTLE,-0.008372735016343384,0.19372123048234846,-0.10536051565782628,0.09757421030120482,0.43321966510181403,24.901397285421908
